,utterance,find_train,book_train,NONE
95,"Anyone of those would work. Could you recommend something for me? I'll need the phone number, and address as well.",0,0,1
96,What area is it in?,0,0,1
97,I'm planning a trip to Cambridge and I was told the A and B Guest House was a great place to stay. Can you give me information about it?,1,0,0
98,Do you have free parking? I refuse to pay for parking in a hotel that I am staying at. Wouldn't you agree?,1,0,0
99,"Okay, sounds good. Also I need to get a train from Liverpool street to Cambridge.",1,0,0
100,"Oh wait, you know what? I forgot to ask about star ratings. What's the star rating on the A and B Guest House, please?",0,0,1
101,The train should leave after 12:45 and should leave on friday. for 2 people please book.,1,0,0
102,Does that train leave on Friday?,1,0,0
103,I need two tickets.,0,1,0
104,"No thanks, that is everything.",0,0,1
105,I need a train to go from Cambridge to Norwich.,1,0,0
106,I am traveling on Sunday,1,0,0
107,I would like to arrive by 13:45.,1,0,0
108,I would like to book that train for 4 people please.,0,1,0
109,"yeah, I'm also looking for a place to stay. I don't like hotels, so a guesthouse would be better. Moderate in price.",0,0,1
110,"Yes, the hotel should be in the east and doesn't need to have free parking.",0,0,1
111,can I have the star rating and idf they have wi fi ?,0,0,1
112,"OK, that's all I need for now. Thanks.",0,0,1
113,Thanks you too Goodbye,0,0,1
114,I'm looking for a train please.,1,0,0
115,I plan to leave from stevenage to go to Cambridge.,1,0,0
116,I want to leave on Sunday and arrive by 12:15.,1,0,0
117,"Thank you, I will check them out and get back to you.",0,0,1
118,That information is very overwhelming. Can you please pick the best option that meets my criteria and book for 6 people.,0,1,0
119,"I think you're confused. I need the info, you're the help desk.",0,1,0
120,"That's more like it. And, what's the reference number?",0,1,0
121,That was all. Thank you,0,0,1
122,I need to get a train going to Stevenage.,1,0,0
123,"Yes, departing from Cambridge. We'll be leaving on Tuesday, hopefully after 15:15.",1,0,0
124,What is the price for TR5343?,1,0,0
125,I would like information on pools in the north.,0,0,1
126,How about Jesus Green Outdoor pool. Could I have their address and phone number.,0,0,1
127,thanks! that's all i need now,0,0,1
128,"No, not at this time. Thank you.",0,0,1
129,"Hi, what can you tell me about the bangkok city restaurant?",0,0,1
130,Yes for 2 at 19:30 on Sunday please. I need the reference number then too.,0,0,1
131,I'd also need a train leaving the centre going to kings lynn and arriving by 17:00 on monday.,1,0,0
132,"Yes, it should depart from Cambridge.",1,0,0
133,"Ok, I think that should be fine. Can you make a booking for me?",1,0,0
134,I need tickets for the same group of people going to the restaurant with me.,0,1,0
135,Thank you so much.,0,0,1
136,No that is it. Thank you so much.,0,0,1
137,Thank you for your assistance.,0,0,1
138,I'm looking for a train.,1,0,0
139,Departing from ely to cambridge.,1,0,0
140,It's on Tuesday. I need to arrive by 9:30 and need to book for 7 people. Could I also get the reference number too?,0,1,0
141,One more thing. Can you give me information about an attraction called Ruskin Gallery?,0,0,1
142,What is the phone number for there?,0,0,1
143,That was all I needed today. Thank you.,0,0,1
144,What fun places can I visit in the East?,0,0,1
145,I don't have a preference. Which place would you recommend?,0,0,1
146,What is the entrance fee?,0,0,1
147,"Great, thanks! Can you help me find a train going into Cambridge as well?",1,0,0
148,I am leaving birmingham new street and going to cambridge; I need to travel on Friday and arrive by 13:15.,1,0,0
149,Yes please. Book the train for 2 people. Please include the reference number.,0,1,0
150,That's everything. Thanks again and have a great day!,0,0,1
151,I am planning a trip in Cambridge.,1,0,0
152,I'm looking for a train from Cambridge to Leicester on Monday.,1,0,0
153,I need to leave after 21:45,1,0,0
154,"Yes, could you book me 2 tickets and get me a reference number?",0,1,0
155,"Yes, i also need a hotel with free wi-fi. I do not mind if it is expensive.",0,0,1
156,does it have free parking?,0,0,1
157,"Yes, I need it for Thursday. 2 people 4 nights.",0,0,1
158,That is all I need.,0,0,1
159,I really need to get out of Cambridge! Can you find me a train to Leicester? Sometime after 08:45 because I like to sleep in.,1,0,0
160,I'll be leaving this place on Saturday.,1,0,0
161,It does not matter.,1,0,0
162,No thank you. What's the cost of the ticket?,1,0,0
163,I also need the travel time and arrival time please.,1,0,0
164,I'm also looking for a particular hotel. Its name is called cityroomz.,0,0,1
165,I'd like to to book it for 8 people and 4 nights starting from tuesday,0,0,1
166,Not at this time. Thank you.,0,0,1
167,"I am looking for a place to go in the centre, of type multiple sports.",0,0,1
168,Is there a nightclub located in the centre instead then?,0,0,1
169,"No, I just need the phone number and entrance fee for each of them.",0,0,1
170,Thank you I also need a train going to Cambridge leaving after 17:00,1,0,0
171,I will be departing from Bishops Stortford on Sunday.,1,0,0
172,"No, that's all I needed. Thank you!",0,0,1
173,I would like to find out information about a hotel called Warkworth House.,0,0,1
174,Yes please. It'll be for 4 nights.,0,0,1
175,Thank you. Can I get a reference number for the booking?,0,0,1
176,I need to book it to 2 people for 4 nights starting from wednesday.,0,0,1
177,I'm also looking for a train. I'll be traveling back to Broxbourne on Friday.,1,0,0
178,yes i will be leaving from Cambridge.,1,0,0
179,I would like to leave after 10:30.,1,0,0
180,Yes that will work. I need to book it for 2 people.,0,1,0
181,Can you find me a expensive cafe to eat at once i get off the train?,0,1,0
182,"I actually don't need a place to eat. Thank you, that is all.",0,0,1
183,That is helpful.Thanks,0,0,1
184,"No, I'm sorry. That's all for now. Thank you for all your help.",0,0,1
185,We will be on the west side of town and would like to find a place to eat while there.,0,0,1
186,I want some Scottish food.,0,0,1
187,"Yeah, can you check the south please?",0,0,1
188,What a bummer. Find me a restaurant that serves British food on the West please.,0,0,1
189,"The expensive range please. I will need their phone number and address. Also, I am looking for a train departing from Cambridge on Saturday.",1,0,0
190,I need to get to london liverpool street by 13:00.,1,0,0
191,"No need to book. But, can I please get the price of the ticket?",1,0,0
192,Thanks so much. That will be all the information I need today. Bye.,0,0,1
193,I am planning a trip in Cambridge,1,0,0
194,I'm actually looking to book a specific hotel. It is called the Alpha-Milton Guest House.,0,0,1
195,"I'd like to start my stay on Wednesday, it will be for two nights, and it will be 6 people.",0,0,1
196,Thanks so much. I also need a train to arrive in Peterborough by 16:45.,1,0,0
197,"I just want to verify that train leaves from Cambridge correct? If so, can you book it for 6 people and provide the reference number.",0,1,0
198,No thank you. Goodbye.,0,0,1
199,I'm looking for a hotel that includes free wifi and free parking.,0,0,1
200,I would like a hotel in the centre and it should be in the cheap price range.,1,0,0
201,"Yes, that would be fine. What are the names of the two guesthouses?",0,0,1
202,What star ratings are they?,0,0,1
203,Okay may I please have the phone number for Alexander bed and breakfast?,0,0,1
204,Thank you! I'm also looking for a train for saturday.,1,0,0
205,"I need to leave Cambridge on Saturday, please.",1,0,0
206,i am going to ely and it should leave by 18:00,1,0,0
207,Please pick one that meets my requirements.,1,0,0
208,"No, Make sure you get travel time, price, and train ID",1,0,0
209,No thank you.,0,0,1
210,No thank you that will be all,0,0,1
211,Let's find me an expensiove place to eat in the centre,0,0,1
212,"How about you pick one and reserve a table for 5 on sunday at 11:45, and I'll need that reference number too.",0,0,1
213,Great can you also help me get a train? I'm looking to go to ely and arrive by 21:30,1,0,0
214,I will be leaving on Monday,1,0,0
215,"Yes, but i need to book four more people as well.",0,1,0
216,Thank you very much.,0,0,1
217,"No, that's all. Good bye",0,0,1
218,Can you help me find a place to stay that's four stars and has free wifi?,0,0,1
219,That doesn't matter as long as it's cheap.,0,0,1
220,"It doesn't matter. Like I told you, it just needs to be a cheap 4 star place with free wifi.",0,0,1
221,Okay I would like to make a booking for 5 people and 4 nights starting from wednesday.,0,0,1
222,"Yes, of course.",0,0,1
223,"I also need a train on Friday, departing after 9:00.",1,0,0
224,i am departing from cambridge,1,0,0
225,"I will be traveling to ely, no need to book, but i need the train number, travel time departure time and arrival time",1,0,0
226,That is all. Thanks for your time.,0,0,1
227,Can you find me a train from Cambridge to Leicester?,1,0,0
228,I'd like to leave on wednesday and should arrive by 13:00,1,0,0
229,What is the price of that train?,1,0,0
230,"Yes, I would like to book a seat on that train. Thank you.",0,1,0
231,yes. also findme primavera's phone number,0,1,0
232,Thanks. I am also looking for the Primavera. It is an attraction.,0,0,1
233,Can I get their phone number please?,0,0,1
234,No. That will be all. Thank you.,0,0,1
235,I am planning a trip in Cambridge,1,0,0
236,I need a train ticket going to cambridge from norwich on saturday anytime after 15:00,1,0,0
237,"No it doesn't matter when I get there. Can you pick one, and make me a booking for three people? I need a reference number too!",0,1,0
238,Thank you. I also need info on a place to go in the west. Any one will do. Just something to see.,0,0,1
239,Can you recommend one and give their post code?,0,0,1
240,"That sonds great, thanks. Thats all I need for today.",0,0,1
241,I need a train on Tuesday that arrives by 16:45.,1,0,0
242,I want to depart from London and arrive in Cambridge.,1,0,0
243,london liverpool street.,1,0,0
244,For two people please. I will need the reference number. I also want to stay at the Lensfield hotel.,0,1,0
245,do you know the lensfield hotel? I need their phone # and how many stars do they currently have?,0,0,1
246,No thank you. That's all I need for now.,0,0,1
247,I'm hoping to book a train from bishops stortford to cambridge. Please list all times for that route.,1,0,0
248,I need to leave Wednesday and arrive after 11:15.,1,0,0
249,I would like to leave after 11:15.,1,0,0
250,"no, i want that day and time please",1,0,0
251,"Well, I need to know the arrival time first.",1,0,0
252,"Yeah, that works. Can you recommend a 0 star hotel for me?",0,0,1
253,I'd like it to be in the centre please.,0,0,1
254,"it doesn't really matter. Moderately priced located in the centre. I need phone number, hotel type and if they have free parking or not",0,0,1
255,Does it have free parking?,0,0,1
256,"Great, thank you. That is all that I need.",0,0,1
257,Hi! I'm looking for a train to Norwich on Saturday.,1,0,0
258,From Cambridge and I want to arrive by 20:30.,1,0,0
259,"Yes please, book it for 7 people.",0,1,0
260,I am also looking for a place to stay. Can you find a 1 star hotel for me that is a guesthouse?,0,0,1
261,"If there are no 1 star guesthouses, please find me the cheapest one that includes free wifi.",0,0,1
262,Yes Alexander bed and breakfast that has a star of 4 would be great.,0,0,1
263,There will be 7 people staying for 2 nights beginning on Thursday.,0,0,1
264,Would 1 night work instead? If it does could I get the reference number please?,0,0,1
265,That will be all. Thank you.,0,0,1
266,Can you help me find a place to go on the east side of town where I can enjoy multiple sports? Thanks.,0,0,1
267,"No thanks, I'd like to call them first. Can you give me the address, phone number and entry fee for Cherry hinton village centre?",0,0,1
268,looking for a train. The train should go to london liverpool street and should leave on saturday,1,0,0
269,I am leaving from Cambridge.,1,0,0
270,When will it arrive? I need it to arrive by 19:30.,1,0,0
271,"That will work, go ahead and book that.",1,0,0
272,I don't need need reservations I just need a price and train ID.,1,0,0
273,ok thats it thank you.,0,0,1
274,Hi! Would you please help me find a hotel to stay at?,0,0,1
275,"It needs to be 2 star, have free parking and free wifi.",0,0,1
276,I do not have a preference. Please pick one and get me a booking for 8 people for 3 nights staring from Friday.,0,0,1
277,i also need a train that should leave after 16:45 destination bishops stortford,1,0,0
278,"I need to travel on Monday, departing Cambridge. Does that make a difference?",1,0,0
279,"Yes, I need 8 tickets. And could you provide the reference number?",0,1,0
280,"No thanks, that will be everything.",0,0,1
281,Thank you for your time goodbye!,0,0,1
282,"I need to book a train from stansted airport to cambridge, can you help me?",1,0,0
283,"monday, after 11:15",1,0,0
284,Can you reserve 6 tickets on the next train after 11:15?,0,1,0
285,Great sounds perfect!! Thank you so much for all your help.,0,0,1
286,"Hello, do you have any information regarding interesting theatres to visit in the centre of town?",0,0,1
287,I'm interested in one of the theatres! Can I get the entrance fee information for those?,0,0,1
288,"That's okay, could you provide me with the postcode and address, please? Also, I am looking for a train leaving after 16:00 this Monday.",1,0,0
289,"Of course, silly me :P I am looking for a train from cambridge to stevenage",1,0,0
290,"Awesome, thank you very much! I'm pretty sure that's all I need right now, but I'll be back if I think of anything else. Later!",0,0,1
291,"Yes, I am hoping you can give me some information on a train.",1,0,0
292,I am leaving cambridge on Tuesday and going to Birmingham new street.,1,0,0
293,I would like to leave after 21:45.,1,0,0
294,How about the one arriving at 01:44.,1,0,0
295,What is the travel time for the one arriving at 1:44.,1,0,0
296,I would also like to go to a museum.,0,0,1
297,I'm fine with any area of town.,0,0,1
298,"I would like to give that a try. What is the entrance fee, phone number and area?",0,0,1
299,Thanks so much. That's all I need. Goodbye!,0,0,1
300,Can I please get a train ticket from Norwich to Cambridge?,1,0,0
301,I will be leaving after 15:15 on Tuesday.,1,0,0
302,"Perfect, can I get 8 tickets?",0,1,0
303,i am also looking for places to go in town. The attraction should be in the type of park.,0,0,1
304,"Yes, I would like to visit a park.",0,0,1
305,"The area doesn't matter, can you recommend one?",0,0,1
306,Can I get the phone number and the postcode?,0,0,1
307,"Yes, I would like to find a park to go to. I will need the phone number and postcode. Also, what is the entrance fee for this? Thanks!",0,0,1
308,"Okay, that's all I need, thank you so much!",0,0,1
309,Can you help me find a place to stay that is expensive and includes free parking?,0,0,1
310,"Area doesn't really matter, but I would like a 3-star place with internet.",0,0,1
311,"Could you give me the address, please?",0,0,1
312,"Nah, not right now. I do need info on a train though. What's the schedule like on Sunday trains leaving cambridge?",1,0,0
313,How about a train that will arrive by 12:15 heading to london liverpool street?,1,0,0
314,"Yes, that sounds perfect. Can you make me a booking for 1 person please?",0,1,0
315,"Excellent, thank you!",0,0,1
316,Thank you for your help.,0,0,1
317,I want to find an expensive restaurant in the centre of town.,0,0,1
318,"Great, what is the postcode and phone number?",0,0,1
319,I also need a train from Cambridge to Stansted Airport. Can you please look that up for me.,1,0,0
320,I just need to leave on Wednesday and should arrive by 18:15.,1,0,0
321,What is the departure time?,1,0,0
322,"Ok, thank you. That is all the information I need today.",0,0,1
323,"Hi, Can you help me find a train from Norwich to Cambridge?",1,0,0
324,I would like to arrive wednesday at 16:45.,1,0,0
325,"No need to book it today. I would like the price and travel time if you have it there, though.",1,0,0
326,I also need a hotel with free parking.,0,0,1
327,"I'd like a guesthouse with a star of 4, please.",0,0,1
328,"Yes please, I need it for 4 people, 3 nights starting on Wednesday.",1,0,0
329,How about 1 night at the archway house for 4 people. Please book and provide a reference number. Thank you.,0,0,1
330,"That's all I needed today, thank you",0,0,1
331,I'm interested in finding a train to peterborough on Wednesday please,1,0,0
332,on wednesday by 8 15 please,1,0,0
333,Yes that will work great can you book me 2 tickets?,0,1,0
334,"Great, I'm also looking for a swimming pool in the north. Can you find me one?",0,0,1
335,"Either is fine, I just need the postcode.",0,0,1
336,No that takes care of all my needs for now. Thanks! Bye!,0,0,1
337,I'm looking for a multiple sports attraction in the area of center.,0,0,1
338,"No, How about a swimming pool in that area?",0,0,1
339,Thank you for the phone number. Thanks for the help!,0,0,1
340,I am also looking for a train leaving friday.,1,0,0
341,"I am looking to depart cambridge, head to ely, and arrive by 18:30",1,0,0
342,"Yes, please book for 1 person the train that departs at 17:50.",0,1,0
343,Thank you for all your help.,0,0,1
344,"That's everything I needed, thank you very much for your time!",0,0,1
345,I would like to book a train.,1,0,0
346,I am sorry I mean I want a nightclub to go in the wast side of town.,0,0,1
347,how about one that is in the type of museum.and make Make sure you get address,0,0,1
348,I also need a moderate priced room.,0,0,1
349,I'd like it to be a guest house in the north.,0,0,1
350,I'm not sure yet. I'm really researching right now. Can you please recommend a guesthouse in the north in the moderate price range?,0,0,1
351,"No but I do need to know if they have internet, free parking, and the address of the guesthouse of your choice, thanks!",0,0,1
352,"Yes, please tell me your favorite guesthouse in the north and let me know their address and whether they offer free Internet and parking.",0,0,1
353,"Yes, please, I would appreciate that.",0,0,1
354,I actually don't need a room. I just need the address please.,0,0,1
355,"Thank you, that is everything, sorry for being so annoying in the process.",0,0,1
356,I need a train on Tuesday that goes to london kings cross.,1,0,0
357,I want to leave by 19:30.,1,0,0
358,Well I need it to leave after 19:30 and I would like to make a booking for 5 people on Tuesday and I will need a reference number.,0,1,0
359,i am also looking for information about the hamilton lodge.,0,0,1
360,Can you tell me if they have free internet?,0,0,1
361,Ok. Thanks. All set.,0,0,1
362,"No, that would be all for today. Thank you for all your help.",0,0,1
363,I'm looking for a hotel called city centre north b and b,0,0,1
364,Does the hotel have free parking?,0,0,1
365,Hmm. Okay. Could you help me find a train? I need to leave on Sunday.,1,0,0
366,I want to leave on Sunday and arrive by 14:00.,1,0,0
367,I am traveling to cambridge from broxbourne.,1,0,0
368,Can you book it for me and get a reference number ?,0,1,0
369,Thanks very much for your help today.,0,0,1
370,"I'm awful with math, what is the travel time on that train?",0,1,0
371,Thank you for informing about the total duration.,0,1,0
372,I am look for a hotel near the beach near the main strip,0,0,1
373,I am looking for a particular restaurant called Zizzi Cambridge. Can you tell me what area it is in?,1,0,0
374,"Excellent. Thank you. Also, can you assist me with finding a train for Monday?",1,0,0
375,"We will be traveling from Cambridge and going to Ely, but it needs to leave after 21:00.",1,0,0
376,I need to leave after 21:00.,0,1,0
377,"i didnt really need a booking, but oh well. can i get the price of the ticket though?",0,1,0
378,"Thanks for the info, that's all I need today.",0,0,1
379,You're welcome for contacting you. Have a nice day too. Bye bye.,0,0,1
380,"Hello, I need to book a train at 07:15 leaving Cambridge going to the town center on Thursday for 7 people.",0,1,0
381,Could you check for a bus?,0,1,0
382,I am leaving from Cambridge at 14:30.,0,1,0
383,I will be going to ely.,0,1,0
384,Doesn't matter. I just can't leave until 14:30,0,1,0
385,Does the train depart on Friday? Does it go to Stevenage?,0,1,0
386,"For Clarification: From Cambridge to destination Stevenage,, on friday, leaving after 14:30.",0,1,0
387,just one person,0,1,0
388,Do you know how long the travel time is and the price?,0,1,0
389,"No, that is all thanks.",0,0,1
390,i need a train going to leicester that leaves after 11:45,1,0,0
391,"I will be departing leicester going to cambridge, sorry for the confusion. I need to leave after 11:45 also.",1,0,0
392,That is fine. Can I have the train ID once it's booked?,1,0,0
393,I need 1 ticket for departure on Thursday.,0,1,0
394,Yes I want to reserve a table for 7 people at 15:00 on Thursday at an expensive African restaurant. Can you help me with this?,0,1,0
395,"Sure. If there are no other African eateries to choose from, try the 14:00 at the Bedouin.",0,0,1
396,Could you get a reservation at a difference expensive African restaurant?,0,0,1
397,No thank you. I have everything I need.,0,0,1
398,I need a train to Cambridge please. I plan to leave out on Tuesday,1,0,0
399,I am leaving peterborough.,1,0,0
400,I need to leave after 14:15,1,0,0
401,"Um, the one at 14:48 please. Could you book it for 6 people?",0,1,0
402,Yes. I'm looking for a restaurant called Gourmet Burger Kitchen. Can you tell me the price range and area that's in?,0,0,1
403,"No, that's it. Thanks for your help. Goodbye.",0,0,1
404,I would like to book a hotel room for two.,1,0,0
405,"Yes, sorry. I need to leave Stansted airport on Tuesday.",1,0,0
406,Cambridge. Please give me departure time and travel time.,1,0,0
407,"It most certainly would, thank you. I am not ready to book, can you just give me the travel time for that trip?",1,0,0
408,"No, that's all, thanks.",0,0,1
409,"Hi, can you help me find a train? I'm in the planning stages of a trip there.",1,0,0
410,Not really but I am departing from Cambridge and going to Birmingham New Street.,1,0,0
411,"No. I need the train on a thursday and it has to arrive by 13:45. Can you give me the departure time, price, and travel time for that train?",1,0,0
412,"Yes, do you have any suggestions of places to go in the centre?",0,0,1
413,"Yes, I enjoy going to museums. Can you recommend one?",0,0,1
414,That sounds great. Can you please provide me with the phone number and postcode.,0,0,1
415,That is all I needed today have a nice day.,0,0,1
416,I need a list of cheap places to stay that include free parking.,0,0,1
417,"Okay, does that place include free wifi and it is 4 stars?",0,0,1
418,I will be staying 5 nights starting from Saturday.,0,0,1
419,"Yes, can you book it for 6 people?",0,0,1
420,Thank you. I also need a train to Kings Lynn that leaves on Sunday.,1,0,0
421,I need to find a place to eat in the centre of Cambridge.,1,0,0
422,I'd like something that serves modern European.,0,0,1
423,Great can you book one for 2 people at 16:00 on monday please?,1,0,0
424,I am also looking for a train for Monday departing birmingham new street.,1,0,0
425,I'm looking to arrive in cambridge by 10:15.,1,0,0
426,"Possibly. Can you give me the departure time, travel time and a price?",1,0,0
427,Sounds good. Is there a ticket available on that train?,0,1,0
428,Okay. Thank you for all your help.,0,0,1
429,"I won't be needing anything else, thank you.",0,0,1
430,I need a train to stansted airport from cambridge please.,1,0,0
431,Thursday. I need to arrive by 12:45.,1,0,0
432,"Yes, that works. Can I get the train id number and the price please?",1,0,0
433,I need to find me a room as well.,0,0,1
434,"Looking for something in the North, cheap price range please. Don't care much about internet.",1,0,0
435,"Sure, Saturday for 5 nights and 7 people.",0,0,1
436,Does the Worth House have a star rating of 4?,0,0,1
437,Can you book the worth house for 5 nights starting saturday for 7 people.,0,0,1
438,Thank you that will be all I need.,0,0,1
439,"i need a train to bishops stortford that leaves after 16:30, please.",1,0,0
440,I already told you.,1,0,0
441,"I would like to leave on Tuesday, and depart from Cambridge.",1,0,0
442,Yeah. I need to book for 7 people.,0,1,0
443,Thanks for the booking. I also am looking for a guesthouse with free internet for all of us.,0,0,1
444,We will be staying for five days.,0,0,1
445,One moment. I am looking for 2 stars. Does Arbury Lodge Guesthouse have two stars?,0,0,1
446,"Yes, please book it and provide a reference number.",0,0,1
447,Is it available starting Thursday?,0,0,1
448,Four star please same group of people starting Thursday I need a ref number too please.,0,0,1
449,No that will be all today. Thanks!,0,0,1
450,I am planning your trip in Cambridge. looking for a train,1,0,0
451,I am from Broxbourne and coming into Cambridge. What trains would you have available on Monday?,1,0,0
452,I need to leave after 21:15. Can you book this for four people? I need a reference number.,0,1,0
453,"Thanks, I also need a guest house.",0,0,1
454,"I want it to be cheap, in the centre, and it must have internet",0,0,1
455,"No, I don't have a preference for star rating. Either would be fine.",0,0,1
456,as long as it has free wifi. I need a room for 2 nights for 4 people on the same day.,0,0,1
457,"that will be all for me today. Thank you, bye!",0,0,1
458,I'm trying to find a train that departs from London Kings Cross on Thursday. Can you help me book a ticket?,1,0,0
459,Any time that lets me arrive by 08:45.,1,0,0
460,Yes can you please book that for 8 people and give me the reference number?,0,1,0
461,"Yes, have you heard of a restaurant called Curry King?",0,0,1
462,Can you book be there for 8 people at 18:30 on thursday?,0,1,0
463,Thank you for reserving that for me. That's all I need today.,0,0,1
464,"Good evening, I need to take a train from Cambridge to Norwich.",1,0,0
465,I want to leave on Wednesday and arrive by 15:30.,1,0,0
466,"Yes, that would work. I don't need a ticket though. But, can I ask the price per ticket?",1,0,0
467,i'm also interested in places to go in town.,0,0,1
468,I would like information on the colleges in the centre please.,0,0,1
469,recommend any and give me the entrance fee and postcode,0,0,1
470,"Thanks, that's all I need for today",0,0,1
471,"Yes, thank you very much. That will be all.",0,0,1
